product_id,id_web,nom_produit,price,total_sales,chiffre_affaires,z_score
4115,15382,Zind-Humbrecht Riesling Grand Cru Rangen De Thann Clos Saint-Urbain 2017,100.0,0.0,0.0,2.4273854209385957
4132,11668,Zind-Humbrecht Pinot Gris Grand Cru Rangen De Thann Clos Saint-Urbain 2012,88.4,0.0,0.0,2.010277148714342
5916,14774,Wemyss Malts Single Cask Scotch Whisky Chocolate Moka Cake 2005 Strathclyde,93.0,0.0,0.0,2.175682153217063
6126,14923,Champagne Gosset Célébris Vintage 2007,135.0,2.0,270.0,3.685901759546259
4352,15940,Champagne Egly-Ouriet Grand Cru Millésimé 2008,225.0,5.0,1125.0,6.9220866302516795
6212,13996,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015,115.0,2.0,230.0,2.9667495660561656
5025,13914,Champagne Agrapart &amp; Fils L'Avizoise Extra Brut Blanc de Blancs Grand Cru 2012,112.0,0.0,0.0,2.8588767370326518
6213,15072,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,121.0,0.0,0.0,3.1824952241031936
5918,14773,Wemyss Malts Single Cask Scotch Whisky Chai Caramel Latte 2002 Craigellachie,114.0,0.0,0.0,2.930791956381661
5001,14581,David Duband Charmes-Chambertin Grand Cru 2014,217.5,0.0,0.0,6.652404557692894
4582,12857,Château de Meursault Puligny-Montrachet 1er Cru Champ Canet 2014,109.6,0.0,0.0,2.7725784738138404
5007,12791,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2014,105.0,0.0,0.0,2.6071734693111193
4355,12589,Champagne Egly-Ouriet Grand Cru Blanc de Noirs,126.5,11.0,1391.5,3.3802620773129695
6214,11601,Domaine des Comtes Lafon Volnay 1er Cru Champans 2013,99.0,0.0,0.0,2.391427811264091
6216,15070,Domaine des Comtes Lafon Volnay 1er Cru Champans 2016,121.0,0.0,0.0,3.1824952241031936
4904,14220,Domaine Des Croix Corton Charlemagne Grand Cru 2016,137.0,5.0,685.0,3.7578169788952684
6202,15126,Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,116.4,0.0,0.0,3.0170902196004725
4406,7819,Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age,157.0,0.0,0.0,4.4769691723853615
5892,14983,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,191.3,3.0,573.9000000000001,5.710315184220872
4903,14805,Domaine Des Croix Corton Grand Cru Les Grèves 2017,102.3,0.0,0.0,2.510087923189957
4402,3510,Cognac Frapin VIP XO,176.0,13.0,2288.0,5.160163756200951
5008,11602,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013,105.0,0.0,0.0,2.6071734693111193
5917,14775,Wemyss Malts Single Cask Scotch Whisky Choc 'n' Nut Pretzel 2001 Bunnahabhain,122.0,0.0,0.0,3.2184528337776985
6201,14596,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,105.6,0.0,0.0,2.6287480351158217
5565,19822,Tempier Bandol Cabassaou 2017,92.0,0.0,0.0,2.1397245435425587
4404,3507,Cognac Frapin Château de Fontpinot XO,108.5,2.0,217.0,2.7330251031718853
5767,15185,Camille Giroud Clos de Vougeot 2016,175.0,0.0,0.0,5.124206146526446
5612,14915,Domaine Weinbach Gewurztraminer Grand Cru Furstentum SGN 2010 1/2,124.8,0.0,0.0,3.319134140866312
6215,12790,Domaine des Comtes Lafon Volnay 1er Cru Champans 2014,115.0,0.0,0.0,2.9667495660561656
4407,3509,Cognac Frapin Cigar Blend,104.0,1.0,104.0,2.5712158596366144
